1	3	11	12	14	41	43	1
1	8	33	36	37	39	41	1
1	1	6	23	24	27	39	1
1	3	9	10	13	20	43	1
1	5	14	21	31	34	47	1
1	8	20	21	25	31	41	1
1	18	25	28	33	36	42	1
1	7	16	17	31	40	48	1
1	5	10	23	27	37	38	1
1	4	15	30	37	46	48	1
1	7	9	21	33	38	42	1
1	11	17	19	20	36	43	1
1	7	14	17	20	37	47	1
1	25	28	29	30	35	44	1
1	8	18	36	39	41	47	1
1	9	12	13	14	44	48	1
1	4	14	18	40	43	44	1
1	13	16	18	34	35	36	1
1	11	23	25	28	29	36	1
1	7	18	23	25	37	45	1
1	11	18	19	31	37	45	1
1	8	14	16	18	31	48	1
1	4	11	23	24	25	45	1
1	3	4	19	33	34	48	1
1	5	17	21	28	30	43	1
1	6	17	24	36	38	46	1
1	4	9	10	11	43	46	1
1	7	13	23	32	33	45	1
1	11	18	22	28	35	37	1
1	25	26	31	35	45	48	1
1	11	19	25	31	32	36	1
1	8	34	37	39	41	47	1
1	5	10	30	35	36	45	1
1	8	22	26	27	34	42	1
1	3	5	6	33	38	39	1
1	10	14	25	31	44	47	1
1	11	13	15	16	24	31	1
1	11	12	19	25	29	44	1
1	2	7	21	22	30	33	1
1	11	15	25	38	41	43	1
1	2	10	11	31	43	49	1
1	21	24	25	32	39	49	1
1	4	10	23	38	41	46	1
1	20	24	28	35	42	46	1
1	1	3	19	31	32	47	1
1	3	17	20	30	35	48	1
1	18	26	29	35	36	49	1
1	2	13	41	42	44	47	1
1	7	10	11	16	28	40	1
1	6	7	10	32	36	38	1
1	2	29	31	40	45	48	1
1	4	14	24	31	33	35	1
1	7	19	26	28	45	49	1
1	9	19	28	36	45	46	1
1	4	11	14	20	26	30	1
1	5	9	27	39	40	43	1
1	16	19	22	29	44	48	1
1	11	14	18	31	35	49	1
1	22	23	25	26	35	41	1
1	3	6	7	33	34	36	1
1	9	11	27	28	37	46	1
1	1	2	8	23	46	48	1
1	9	12	20	21	37	43	1
1	9	16	18	20	26	43	1
